Fat_Supply_Quantity_Data,,,,,,,,,,,,
Fat_Supply_Quantity_Data,,,,,,,,,,,,
Country,Animal Products,Animal fats,Cereals ,Eggs,Seafood,Meat,Milk ,Confirmed,Deaths,Recovered,Active,Population
Bolivia,30.4,4.2,2.7,1.5,0.18,21.1,3.3,3.3,3.3,3.3,0.42,11633000
Bosnia and Herzegovina,24.6,2.4,3.7,0.8,0.3,9.7,11.3,11.3,11.3,11.3,0.66,3281000
Botswana,17,4.1,7.2,0.3,0.36,3.5,8.5,8.5,8.5,8.5,0.16,2317000
Brazil,24.9,4.4,1.1,0.8,0.19,14.3,5.2,5.2,5.2,5.2,0.37,211812000
Bulgaria,27.1,8,1.8,1.2,0.34,9.4,8,8,8,8,0.30,6927000
Burkina Faso,7.2,0.6,10.6,0.4,0.37,3.6,2.2,2.2,2.2,2.2,0.01,20903000
Cabo Verde,22,4.3,5.1,0.8,0.53,9.9,6.3,6.3,6.3,6.3,0.10,556000
Cambodia,18.9,0.9,9.4,0.6,4.85,11.8,0.6,0.6,0.6,0.6,0.00,15497000
Cameroon,6.3,0.8,7,0.1,0.91,3.4,1.1,1.1,1.1,1.1,0.01,26598000
Canada,23.2,9.8,1.5,1.2,0.42,7.8,3.9,3.9,3.9,3.9,NA,38190000
Central African Republic,18.5,2.9,2.8,0.1,0.55,12.9,1.7,1.7,1.7,1.7,0.00,4830000
Chad,16.9,3.1,8,0.1,0.65,7.9,4.4,4.4,4.4,4.4,0.00,16877000
Chile,32.5,5.3,3.2,1.4,0.52,20.2,5.1,5.1,5.1,5.1,NA,19470000
China,31,3.4,2.6,2.3,0.98,21.6,2.2,2.2,2.2,2.2,0.00,1402385000
Colombia,21.4,1.8,1.7,1.8,0.37,11.4,6,6,6,6,0.15,49444000
Congo,13,0.3,2.7,0.1,1.85,9.7,0.7,0.7,0.7,0.7,0.18,5518000
Costa Rica,20.6,6.1,1.7,1.1,0.93,5.6,6.7,6.7,6.7,6.7,0.74,5111000
Cote d'Ivoire,5.3,0.3,5,0.4,1.23,2.6,0.6,0.6,0.6,0.6,0.01,26175000
Croatia,29.4,7.4,3,0.9,0.56,11.5,8.8,8.8,8.8,8.8,0.07,4020000
Cuba,25.9,3.2,4.5,1.5,0.26,16,4.8,4.8,4.8,4.8,0.05,11281000
Cyprus,21,1.9,3.5,1,0.73,10.6,6.7,6.7,6.7,6.7,2.43,1207000
Czechia,25.2,9.7,1.2,0.8,0.3,8.6,5.6,5.6,5.6,5.6,0.90,10716000
Denmark,35.4,14.2,1.5,1.7,1.13,9.2,8.8,8.8,8.8,8.8,0.12,5829000
Djibouti,11.1,1.4,4.4,0.2,0.29,5.1,3.9,3.9,3.9,3.9,0.00,988000
Dominica,26.9,3.8,1.5,0.4,1.65,13.7,7.2,7.2,7.2,7.2,0.02,72000
Dominican Republic,15.3,2.2,1.5,1.1,0.25,7.4,4.1,4.1,4.1,4.1,0.51,10500000
Ecuador,20.9,4.7,3.7,1,0.25,8.7,6.1,6.1,6.1,6.1,0.18,17511000
Egypt,16,3.4,13.5,0.8,1.32,6.5,3.6,3.6,3.6,3.6,0.03,100803000
El Salvador,23.3,6.4,8.2,1.6,0.45,6.7,8.1,8.1,8.1,8.1,0.06,6481000
Estonia,33.2,6.5,2.9,1.6,0.28,10.4,14.3,14.3,14.3,14.3,0.71,1331000
Eswatini,20.8,3.1,12,0.5,0.37,11.1,5.4,5.4,5.4,5.4,0.37,1104000
Ethiopia,11.2,1.4,11.4,0.2,0.06,4.2,5.1,5.1,5.1,5.1,0.01,114916000
Fiji,20,7.7,1.5,0.6,1.47,8.4,1.8,1.8,1.8,1.8,0.00,896000
Finland,36.7,6.4,1.8,0.9,0.94,16.7,11.8,11.8,11.8,11.8,0.28,5529000
